ResponseName,ReleaseDate,ReleaseYear,ReleaseMonth,ReleaseDay,ReleaseDecade,ReleaseQuarter,Genre,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsRPG,GenreIsFreeToPlay,GenreIsSimulation,GenreIsEarlyAccess,GenreIsMassivelyMultiplayer,GenreIsNonGame,GenreIsStrategy,GenreIsSports,GenreIsRacing,PriceInitial,PriceFinal,DiscountPct,PriceCurrency,PriceCategory,IsFree,FreeOrPaid,Metacritic,MetacriticCategory,ReviewCategory,RequiredAge,AgeRating,SteamSpyOwners,SteamSpyOwnersVariance,SteamSpyPlayersEstimate,PopularityCategory,RecommendationCount,PlatformWindows,PlatformLinux,PlatformMac,PlatformCategory,PCReqsHaveMin,PCReqsHaveRec,LinuxReqsHaveMin,LinuxReqsHaveRec,MacReqsHaveMin,MacReqsHaveRec,CategorySinglePlayer,CategoryMultiplayer,CategoryCoop,CategoryMMO,CategoryInAppPurchase,CategoryIncludeLevelEditor,CategoryVRSupport,CategoryIncludeSrcSDK,DLCCount,DemoCount,MovieCount,ScreenshotCount,AchievementCount,AchievementHighlightedCount,PublisherCount,DeveloperCount,PackageCount,ControllerSupport,FreeVerAvail,PurchaseAvail,SubscriptionAvail,LanguageCount
Cranium Conundrum,2016-09-23,2016,September,Friday,2010s,Q3.0,Indie,1,0,1,1,0,0,0,1,0,0,0,0,0,5.99,5.39,0.1002,USD,Budget,0,Paid,0,Unrated,Unrated,0,All ages,5201,1887,2511,Small,0,1,0,0,Windows Only,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,14,0,0,1,1,1,0,0,1,0,1
War Cube,2016-09-12,2016,September,Monday,2010s,Q3.0,Indie,1,0,0,1,0,0,0,0,0,0,0,0,0,1.99,1.99,0.0,USD,Budget,0,Paid,0,Unrated,Unrated,0,All ages,0,0,0,Small,0,1,0,0,Windows Only,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,6,0,0,1,1,1,0,0,1,0,1
Lifestream - A Haunting Text Adventure,2016-09-19,2016,September,Monday,2010s,Q3.0,Indie,1,0,1,1,1,0,0,0,0,0,0,0,0,2.99,2.99,0.0,USD,Budget,0,Paid,0,Unrated,Unrated,0,All ages,0,0,0,Small,0,1,0,0,Windows Only,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,30,10,1,1,1,0,0,1,0,1
Shop-n-Spree: Shopping Paradise,2016-09-12,2016,September,Monday,2010s,Q3.0,Casual,0,0,0,1,0,0,1,0,0,0,0,0,0,6.99,6.99,0.0,USD,Budget,0,Paid,0,Unrated,Unrated,0,All ages,0,0,0,Small,0,1,0,0,Windows Only,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,0,0,1,1,1,0,0,1,0,1
Grim Tales: The Bride Collectors Edition,2016-09-14,2016,September,Wednesday,2010s,Q3.0,Adventure,0,0,1,1,0,0,0,0,0,0,0,0,0,12.99,12.99,0.0,USD,Mid range,0,Paid,0,Unrated,Unrated,0,All ages,0,0,0,Small,0,1,0,0,Windows Only,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,1,1,1,0,0,1,0,1
Nevertales: Shattered Image Collectors Edition,2016-09-16,2016,September,Friday,2010s,Q3.0,Adventure,0,0,1,1,0,0,0,0,0,0,0,0,0,12.99,12.99,0.0,USD,Mid range,0,Paid,0,Unrated,Unrated,0,All ages,803,906,803,Small,0,1,0,0,Windows Only,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,0,0,1,1,1,0,0,1,0,1
Farm Tribe 2,2016-09-22,2016,September,Thursday,2010s,Q3.0,Casual,0,0,0,1,0,0,1,0,0,0,0,0,0,6.99,6.99,0.0,USD,Budget,0,Paid,0,Unrated,Unrated,0,All ages,803,906,803,Small,0,1,0,0,Windows Only,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,1,1,1,0,0,1,0,1
Spa Mania 2,,2015,,,2010s,,Casual,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0, ,Free,0,Paid,0,Unrated,Unrated,0,All ages,0,0,0,Small,0,1,0,0,Windows Only,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,1,1,0,0,0,0,0,1
Mystery Trackers: The Void Collectors Edition,,2015,,,2010s,,Adventure,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0, ,Free,0,Paid,0,Unrated,Unrated,0,All ages,0,0,0,Small,0,1,0,0,Windows Only,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,0,0,1,1,0,0,0,0,0,1
Gladiator Trainer,,2015,,,2010s,,Action,0,1,1,0,1,0,1,1,0,0,1,0,0,0.0,0.0,0.0, ,Free,0,Paid,0,Unrated,Unrated,0,All ages,3946,1644,1973,Small,0,1,0,0,Windows Only,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,1,1,0,1,0,0,0,1
